,Episode,Mean,Stddev
388, 388.00000,  -0.28668,   0.60479
389, 389.00000,   0.74251,   1.41207
390, 390.00000,   1.07366,   1.40032
391, 391.00000,   0.84996,   1.43446
392, 392.00000,   0.14384,   0.04412
393, 393.00000,   1.02469,   0.72277
394, 394.00000,  -1.02463,   1.36925
395, 395.00000,  -0.94889,   1.41458
396, 396.00000,  -0.82052,   0.69238
397, 397.00000,   2.15122,   0.75531
398, 398.00000,   0.52767,   0.69652
399, 399.00000,   0.05253,   1.18838
400, 400.00000,   1.90837,   0.75712
401, 401.00000,   0.33936,   0.09167
402, 402.00000,   1.65085,   0.07266
403, 403.00000,  -0.33303,   0.67682
404, 404.00000,   0.66360,   0.78453
405, 405.00000,   1.00805,   0.73651
406, 406.00000,   1.34166,   1.38429
407, 407.00000,  -0.93702,   0.75885
408, 408.00000,   0.52898,   1.82760
409, 409.00000,   0.21071,   1.25008
410, 410.00000,   0.82498,   0.63587
411, 411.00000,  -0.51437,   0.72867
412, 412.00000,   0.59247,   0.69979
413, 413.00000,   1.25794,   0.67875
414, 414.00000,   0.96440,   0.67357
415, 415.00000,   0.48511,   1.15624
416, 416.00000,   1.20550,   0.70898
417, 417.00000,   0.60120,   1.77280
418, 418.00000,   0.63307,   0.69767
419, 419.00000,  -0.65303,   0.71654
420, 420.00000,   0.25822,   0.06573
421, 421.00000,   0.75256,   0.62383
422, 422.00000,  -1.14202,   1.24600
423, 423.00000,   0.05867,   1.22927
424, 424.00000,   0.83968,   1.27067
425, 425.00000,   0.95557,   0.69184
426, 426.00000,   0.67298,   0.64452
427, 427.00000,   0.12334,   1.22926
428, 428.00000,  -0.90722,   0.70076
429, 429.00000,   1.14306,   1.40764
430, 430.00000,  -0.03087,   1.19232
431, 431.00000,   0.52307,   0.68854
432, 432.00000,  -0.92714,   0.64834
433, 433.00000,   0.24572,   2.34969
434, 434.00000,   0.68425,   0.68783
435, 435.00000,   1.14619,   0.71928
436, 436.00000,   0.00911,   1.22611
437, 437.00000,   0.08884,   1.18425
438, 438.00000,  -0.41610,   1.37475
439, 439.00000,  -0.87632,   0.72686
440, 440.00000,  -0.81860,   1.35064
441, 441.00000,   0.15042,   2.10242
442, 442.00000,   0.08636,   2.10522
443, 443.00000,   0.19859,   1.16525
444, 444.00000,   0.77852,   0.65701
445, 445.00000,   0.22148,   0.07058
446, 446.00000,   1.07823,   0.73882
447, 447.00000,  -0.48762,   0.68505
448, 448.00000,   0.20203,   0.07872
449, 449.00000,  -0.44352,   0.65468
450, 450.00000,  -0.02093,   1.55135
451, 451.00000,   0.01932,   1.19188
452, 452.00000,  -1.44629,   0.03401
453, 453.00000,   1.14132,   0.73638
454, 454.00000,   0.86510,   0.68145
455, 455.00000,   0.01428,   1.20611
456, 456.00000,  -1.46666,   1.16343
457, 457.00000,  -1.38996,   1.14621
458, 458.00000,   0.21599,   1.24671
459, 459.00000,   1.68248,   1.19064
460, 460.00000,  -0.43288,   0.66513
461, 461.00000,  -0.27431,   0.66216
462, 462.00000,   1.01163,   0.67525
463, 463.00000,   0.64289,   0.69751
464, 464.00000,  -0.38536,   0.63617
465, 465.00000,   1.43811,   0.03418
466, 466.00000,   0.57594,   1.34510
467, 467.00000,   1.18778,   0.64147
468, 468.00000,   0.92147,   1.47784
469, 469.00000,  -0.02229,   0.01580
470, 470.00000,   0.48354,   0.64628
471, 471.00000,   0.50608,   1.77483
472, 472.00000,   0.04646,   1.18135
473, 473.00000,   1.47144,   1.22822
474, 474.00000,  -0.25476,   1.85830
475, 475.00000,   0.21499,   1.17407
476, 476.00000,   0.58084,   0.75323
477, 477.00000,   0.75918,   0.67048
478, 478.00000,   0.54330,   0.71943
479, 479.00000,  -1.51436,   0.03284
480, 480.00000,  -0.24883,   0.72250
481, 481.00000,  -0.70161,   0.57531
482, 482.00000,   0.63382,   0.67035
483, 483.00000,   0.29075,   0.02198
484, 484.00000,  -1.92762,   0.71175
485, 485.00000,  -1.29925,   0.01548
486, 486.00000,   0.52579,   1.40513
487, 487.00000,  -0.44599,   0.72578
488, 488.00000,   0.61406,   0.68091
489, 489.00000,   2.22010,   0.71944
490, 490.00000,  -0.22085,   0.73787
491, 491.00000,   0.64797,   0.71806
492, 492.00000,   0.36595,   2.02039
493, 493.00000,   0.03565,   1.16783
494, 494.00000,   1.15803,   1.79220
495, 495.00000,   1.30893,   1.39512
496, 496.00000,  -0.31630,   0.67199
497, 497.00000,  -0.17718,   1.33488
498, 498.00000,  -0.44352,   0.70593
499, 499.00000,   1.52753,   0.08334
500, 500.00000,   0.22221,   1.24174
501, 501.00000,   1.62917,   1.19375
502, 502.00000,  -0.27858,   0.74050
503, 503.00000,  -0.74167,   1.40567
504, 504.00000,  -0.79216,   0.66367
505, 505.00000,   0.83945,   0.71873
506, 506.00000,  -0.43546,   1.85569
507, 507.00000,   0.46278,   1.80888
508, 508.00000,   0.63510,   0.68331
509, 509.00000,   2.02293,   0.62016
510, 510.00000,  -1.02489,   0.69662
511, 511.00000,  -0.44485,   1.45692
512, 512.00000,  -0.67720,   1.45907
513, 513.00000,   1.19566,   1.40906
514, 514.00000,  -0.95702,   0.68626
515, 515.00000,  -1.92719,   0.70249
516, 516.00000,  -1.49943,   0.03567
517, 517.00000,   0.63006,   1.95214
518, 518.00000,  -0.58980,   1.44860
519, 519.00000,   1.66215,   1.18035
520, 520.00000,  -0.27030,   1.85936
521, 521.00000,   1.12777,   0.73000
522, 522.00000,   0.80180,   0.69738
523, 523.00000,  -0.01266,   1.20228
524, 524.00000,   1.17069,   0.72287
525, 525.00000,  -0.91024,   1.39698
526, 526.00000,   1.23315,   0.61710
527, 527.00000,   0.18646,   1.22710
528, 528.00000,  -0.34568,   2.54994
529, 529.00000,  -1.23856,   0.20693
530, 530.00000,   1.23377,   0.66920
531, 531.00000,   0.18642,   2.10415
532, 532.00000,   0.14554,   0.05406
533, 533.00000,   0.13043,   1.20927
534, 534.00000,   0.70299,   0.68485
535, 535.00000,   1.79130,   1.14318
536, 536.00000,  -1.33428,   1.21960
537, 537.00000,   0.75575,   0.79268
538, 538.00000,  -0.95809,   1.84859
539, 539.00000,   1.71068,   1.15154
540, 540.00000,  -0.26285,   0.68564
541, 541.00000,   0.77363,   1.38770
542, 542.00000,   0.01403,   1.15353
543, 543.00000,   0.19780,   1.99115
544, 544.00000,   0.74687,   0.71494
545, 545.00000,   1.07280,   0.73142
546, 546.00000,   0.07871,   1.18780
547, 547.00000,  -0.83342,   0.67207
548, 548.00000,   0.33770,   1.23451
549, 549.00000,   0.61197,   1.40863
550, 550.00000,   0.02457,   1.22459
551, 551.00000,  -0.50440,   0.70918
552, 552.00000,  -0.27431,   1.89285
553, 553.00000,   0.09578,   0.02355
554, 554.00000,   0.13367,   1.16025
555, 555.00000,   1.77980,   1.06659
556, 556.00000,  -0.81356,   1.36360
557, 557.00000,  -0.23657,   0.64188
558, 558.00000,   0.17183,   0.04101
559, 559.00000,  -1.36063,   1.20286
560, 560.00000,  -0.41170,   1.34804
561, 561.00000,  -1.27611,   1.19427
562, 562.00000,   0.15119,   1.18368
563, 563.00000,   0.02706,   2.06571
564, 564.00000,  -0.00345,   1.19380
565, 565.00000,  -1.37906,   1.20206
566, 566.00000,  -0.19086,   0.74629
567, 567.00000,  -0.02631,   1.19629
568, 568.00000,   0.71024,   0.69079
569, 569.00000,   0.58645,   1.37868
570, 570.00000,  -0.80870,   0.73753
571, 571.00000,   1.65240,   0.04959
572, 572.00000,   0.91464,   0.70633
573, 573.00000,   1.00278,   0.72045
574, 574.00000,  -0.73952,   1.33656
575, 575.00000,  -0.29274,   0.71728
576, 576.00000,  -1.30470,   1.23618
577, 577.00000,   0.47421,   0.64404
578, 578.00000,   1.14867,   1.88332
579, 579.00000,  -0.99015,   1.37658
580, 580.00000,   1.04041,   1.87530
581, 581.00000,  -0.48381,   0.69846
582, 582.00000,  -1.35060,   1.23944
583, 583.00000,  -1.00879,   1.39834
584, 584.00000,  -0.29555,   1.36413
585, 585.00000,   0.55451,   0.70459
586, 586.00000,   0.62977,   1.83616
587, 587.00000,   0.24433,   1.19506
588, 588.00000,   0.64682,   1.85287
589, 589.00000,  -0.76617,   1.82784
590, 590.00000,  -0.22623,   0.72141
591, 591.00000,   0.65055,   0.75031
592, 592.00000,  -0.49175,   1.38011
593, 593.00000,  -0.48122,   0.70725
594, 594.00000,  -0.40859,   1.33419
595, 595.00000,  -1.44346,   1.22783
596, 596.00000,   1.85989,   1.17639
597, 597.00000,  -0.93845,   0.71627
598, 598.00000,  -0.42303,   0.67384
599, 599.00000,  -0.28439,   1.37423
600, 600.00000,   0.63404,   0.64300
601, 601.00000,  -0.30214,   0.63776
602, 602.00000,   1.15655,   0.66122
603, 603.00000,   0.59634,   0.69582
604, 604.00000,  -0.25746,   1.88887
605, 605.00000,  -0.41114,   0.71637
606, 606.00000,   0.51134,   0.73241
607, 607.00000,   0.17323,   1.26780
608, 608.00000,  -0.22725,   1.37048
609, 609.00000,  -0.94668,   0.67435
610, 610.00000,   0.19708,   0.00348
611, 611.00000,   1.14415,   0.74258
612, 612.00000,  -0.22321,   1.48116
613, 613.00000,   1.52441,   1.18876
614, 614.00000,   1.22893,   0.72619
615, 615.00000,   1.18681,   1.45095
616, 616.00000,   0.01378,   1.17355
617, 617.00000,   0.18011,   1.29045
618, 618.00000,  -0.38859,   0.67927
619, 619.00000,  -1.81112,   0.71310
620, 620.00000,  -0.32412,   0.68803
621, 621.00000,   0.16851,   1.10552
622, 622.00000,   0.65588,   0.73090
623, 623.00000,  -2.16525,   0.59094
624, 624.00000,   0.20776,   2.11651
625, 625.00000,   0.53946,   0.74272
626, 626.00000,   0.56175,   1.39461
627, 627.00000,   0.25483,   0.06685
628, 628.00000,   2.67453,   0.56817
629, 629.00000,  -0.35070,   0.68849
630, 630.00000,   0.64135,   0.73533
631, 631.00000,  -0.29417,   1.37941
632, 632.00000,  -0.48245,   1.41457
633, 633.00000,  -0.21752,   0.72971
634, 634.00000,   0.36634,   0.09427
635, 635.00000,   0.95806,   2.00261
636, 636.00000,   0.25217,   0.07067
637, 637.00000,  -0.00414,   1.19127
638, 638.00000,  -0.00006,   0.05794
639, 639.00000,  -0.48818,   1.82621
