,Episode,Mean,Stddev
225, 225.00000,  -0.33434,   1.26108
226, 226.00000,   1.04163,   1.52835
227, 227.00000,   0.33544,   1.43893
228, 228.00000,   0.41579,   1.61387
229, 229.00000,   0.73099,   1.21777
230, 230.00000,  -0.64115,   1.01672
231, 231.00000,  -0.66139,   1.53687
232, 232.00000,   0.40603,   1.28212
233, 233.00000,  -0.03303,   1.00631
234, 234.00000,   0.12668,   1.40929
235, 235.00000,   0.16777,   1.44588
236, 236.00000,  -0.03897,   1.96647
237, 237.00000,  -0.24347,   1.31395
238, 238.00000,   0.72654,   1.37195
239, 239.00000,   0.14861,   1.15351
240, 240.00000,  -0.00818,   0.79571
241, 241.00000,  -0.09824,   1.02634
242, 242.00000,   0.25145,   1.53681
243, 243.00000,  -0.12146,   1.33148
244, 244.00000,  -0.02127,   1.56040
245, 245.00000,   0.43125,   2.24991
246, 246.00000,   0.37892,   1.53072
247, 247.00000,   0.06175,   1.14554
248, 248.00000,   0.23739,   1.82014
249, 249.00000,   0.61950,   1.54007
250, 250.00000,  -0.16312,   1.38770
251, 251.00000,   0.18123,   1.13522
252, 252.00000,   0.49597,   1.34846
253, 253.00000,   0.34176,   1.72069
254, 254.00000,  -0.60384,   1.37601
255, 255.00000,   0.97920,   0.92206
256, 256.00000,   1.08985,   1.18129
257, 257.00000,   0.25570,   1.16328
258, 258.00000,   0.22410,   1.25812
259, 259.00000,   0.37971,   1.44071
260, 260.00000,   0.83488,   0.98455
261, 261.00000,   0.08242,   1.89789
262, 262.00000,   0.32125,   1.93608
263, 263.00000,   0.37529,   1.46683
264, 264.00000,   0.54670,   1.45068
265, 265.00000,   0.44344,   0.70657
266, 266.00000,   0.20298,   1.19813
267, 267.00000,   0.19053,   1.03946
268, 268.00000,  -0.31094,   0.86641
269, 269.00000,   0.43967,   0.69782
270, 270.00000,   0.09636,   1.44704
271, 271.00000,   1.24757,   1.51114
272, 272.00000,   0.26713,   1.61523
273, 273.00000,  -0.92180,   1.49333
274, 274.00000,   0.78807,   1.21066
275, 275.00000,   0.28175,   1.30380
276, 276.00000,  -0.24339,   1.07999
277, 277.00000,   0.19008,   1.97733
278, 278.00000,   0.01876,   1.61216
279, 279.00000,  -0.61860,   1.14802
280, 280.00000,  -0.01116,   1.69116
281, 281.00000,   0.23955,   1.22043
282, 282.00000,   0.29115,   1.40082
283, 283.00000,  -0.26972,   1.45569
284, 284.00000,   0.59794,   1.47821
285, 285.00000,   0.42112,   0.87088
286, 286.00000,   0.13394,   1.05832
287, 287.00000,   0.51968,   1.28686
288, 288.00000,  -0.23015,   1.33374
289, 289.00000,  -0.41739,   1.60646
290, 290.00000,  -0.26253,   0.87293
291, 291.00000,   0.81272,   1.61948
292, 292.00000,   0.15091,   1.21766
293, 293.00000,   0.38812,   1.64666
294, 294.00000,   0.62568,   1.45193
295, 295.00000,  -0.31535,   1.63391
296, 296.00000,  -0.50947,   1.38528
297, 297.00000,   0.02990,   2.29645
298, 298.00000,  -0.23213,   0.95300
299, 299.00000,  -0.00627,   1.53945
300, 300.00000,   0.18138,   1.59924
301, 301.00000,  -0.36609,   1.53931
302, 302.00000,   0.86965,   0.99608
303, 303.00000,  -1.14768,   1.10128
304, 304.00000,   0.31791,   1.45387
305, 305.00000,  -0.15707,   1.26642
306, 306.00000,   0.39252,   0.95286
307, 307.00000,   0.09527,   1.01700
308, 308.00000,  -0.40725,   1.32313
309, 309.00000,  -0.60406,   1.49153
310, 310.00000,  -0.24211,   1.50553
311, 311.00000,   0.36223,   1.11193
312, 312.00000,   0.63614,   0.96888
313, 313.00000,  -0.57868,   1.23505
314, 314.00000,   0.13433,   1.38669
315, 315.00000,   0.92752,   1.22148
316, 316.00000,   0.27470,   1.53677
317, 317.00000,   0.87226,   1.15933
318, 318.00000,   0.40401,   1.53273
319, 319.00000,  -1.08098,   0.61560
320, 320.00000,   0.14989,   1.53463
321, 321.00000,   0.23932,   1.23688
322, 322.00000,  -0.84174,   1.18995
323, 323.00000,   0.67804,   1.51621
324, 324.00000,   0.87503,   1.17493
325, 325.00000,  -0.63090,   0.98499
326, 326.00000,   0.45384,   1.45451
327, 327.00000,   0.06729,   0.95299
328, 328.00000,   0.43285,   1.08806
329, 329.00000,   0.51879,   1.30303
330, 330.00000,  -0.21234,   1.58100
331, 331.00000,   0.64960,   1.46560
332, 332.00000,  -0.38962,   1.16134
333, 333.00000,  -0.20245,   2.06349
334, 334.00000,  -1.27089,   0.90606
335, 335.00000,  -0.27742,   1.33413
336, 336.00000,  -0.40314,   1.28318
337, 337.00000,  -0.59349,   1.18896
338, 338.00000,   0.40961,   1.44595
339, 339.00000,  -0.35764,   1.51077
340, 340.00000,   0.09513,   1.23916
341, 341.00000,  -0.37682,   1.16367
342, 342.00000,   0.50232,   1.47817
343, 343.00000,   0.22140,   1.55962
344, 344.00000,  -0.18747,   1.91308
345, 345.00000,   0.16102,   1.47360
346, 346.00000,  -0.08731,   1.21835
347, 347.00000,   0.09026,   1.63550
348, 348.00000,   0.52791,   1.33825
349, 349.00000,   0.76447,   1.34921
350, 350.00000,   0.94068,   1.90269
351, 351.00000,  -0.06997,   1.90790
352, 352.00000,   0.18704,   1.08657
